Code    Red, Green, Blue    Brother     Madeira     Sulky       Isacord

0x01    (0, 0, 0)                       1000        1234
0x02    (254, 254, 254)                 1001        1001
0x02    (255, 255, 255)     001         1001        1001        0015
0x03    (249, 237, 5)                   1024        1024
0x05    (67, 86, 7)         517         1189        1175        5934
0x06    (48, 126, 32)       515         1170        1051        5513
0x06    (49, 125, 37)       515         1170        1051        5513
0x08    (146, 96, 172)      612         1032        1032        2830
0x0a    (254, 0, 0)                     1037        1037
0x0b    (180, 78, 100)      333         1119        1190        2241
0x0c    (35, 54, 114)                   1242        1042
0x0d    (227, 243, 93)      027         1150        1104        6051
0x0e    (44, 19, 0)         058         1129        1131        1366
0x0e    (68, 35, 4)                     1131        1129
0x10    (255, 227, 197)     307         1127        1258        1060
0x12    (244, 165, 132)                 1020        1259
0x14    (147, 5, 3)                     1381        1039
0x15    (177, 176, 211)     804         1232        1193        3652
0x17    (250, 218, 223)     124         1114        1064        2160
0x1a    (155, 217, 235)                 1028        1143
0x1c    (101, 154, 214)                 1375        1201
0x29    (78, 41, 143)       614         1334        1255        2910
0x2a    (238, 23, 31)       800         1147        1147        1703
0x2d    (125, 112, 2)       330         1156        1156        6133
0x2e    (2, 56, 34)         808         1370        1174        5944
0x32    (80, 84, 87)        704         1287        1220        0111
0x34    (198, 98, 0)                    1038        1078
0x34    (204, 93, 3)        337         1221        1181        1312
0x35    (209, 167, 96)      348         1126        1126        0832
0x35    (212, 165, 95)      348         1255        1055        0832
0x36    (250, 127, 126)
0x3a    (105, 45, 4)                    1059        1129
0x3b    (117, 152, 180)                 1360        2125
0x3d    (68, 122, 177)                  1029        1134
0x3e    (158, 214, 125)     502         1377        1047        5822
0x3f    (240, 77, 140)      086         1354        1511        2520
0x43    (0, 150, 0)                     1370        1174
0x44    (255, 240, 142)     812         1135        1066        0640
0x45    (185, 153, 2)       328         1196        1227        0546
0x48    (252, 179, 68)      126         1155        1238        0811
0x4d    (198, 190, 194)                 1011        1218
0x4d    (215, 204, 200)     399         1060        1085        0150
